Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
1120164,1985/01/04,"16 h 57 min 40 sec","BAS-VALAIS (W. MARTIGNY ?)",SUISSE,,998861.39,6557345.23,46.05,6.87,3.5,INCERTAINE
730199,1985/01/05,"0 h 38 min 6 sec","MAURIENNE (ST-JULIEN-MONT-DENIS)","ALPES SAVOYARDES",REPLIQUE,966639.93,6466925.76,45.25,6.40,,
730200,1985/01/05,"4 h 54 min 50 sec","MAURIENNE (ST-JULIEN-MONT-DENIS)","ALPES SAVOYARDES",REPLIQUE,966639.93,6466925.76,45.25,6.40,,
730201,1985/01/05,"5 h 17 min 16 sec","VANOISE (ST-MARTIN-DE-BELLEVILLE)","ALPES SAVOYARDES",REPLIQUE,966639.93,6466925.76,45.25,6.40,,
730202,1985/01/05,"3 h 47 min 4 sec","MAURIENNE (ST-JULIEN-MONT-DENIS)","ALPES SAVOYARDES",REPLIQUE,972844.50,6474607.27,45.32,6.48,,
880062,1985/01/16,"17 h 29 min 15 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,REPLIQUE,968055.88,6780143.59,48.07,6.60,,
30034,1985/01/17,"3 h 11 min 36 sec","BOCAGE BOURBONNAIS (BUXIERES-LES-MINES)",BOURBONNAIS,,696162.00,6594448.46,46.45,2.95,3,"ASSEZ SURE"
650448,1985/02/08,"1 h 31 min 4 sec","BIGORRE (BEAUDEAN)","PYRENEES CENTRALES",,468677.53,6211627.90,42.97,0.17,5,INCERTAINE
40194,1985/02/10,"21 h 59 min 40 sec","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",,958806.03,6338743.55,44.10,6.23,3.5,"INFORMATION ISOLÉE"
680121,1985/02/28,"21 h 33 min 2 sec","SUNDGAU (BLOTZHEIM)",ALSACE,,1035457.26,6731670.51,47.60,7.47,5,"ASSEZ SURE"
740132,1985/04/06,"4 h 18 min 37 sec","AVANT-PAYS SAVOYARD (THONON-LES-BAINS)","ALPES SAVOYARDES",,964023.03,6587231.77,46.33,6.43,4,"ASSEZ SURE"
130121,1985/05/28,"0 h 49 min 42 sec","BASSE-PROVENCE (MIMET)",PROVENCE,,901242.56,6258817.93,43.40,5.48,5,"ASSEZ SURE"
740133,1985/05/29,"6 h 1 min 38 sec","CHABLAIS (CHATEL)","ALPES SAVOYARDES",,995119.36,6581252.38,46.27,6.83,4,"INFORMATION ISOLÉE"
740134,1985/06/01,"20 h 3 min 48 sec","CHABLAIS (CHATEL)","ALPES SAVOYARDES",REPLIQUE,995119.36,6581252.38,46.27,6.83,,
840091,1985/07/15,"2 h 55 min 13 sec","BASSE-DURANCE (BEAUMONT-DE-PERTUIS)",VAUCLUSE,,916185.29,6296374.41,43.73,5.68,4,"ASSEZ SURE"
640471,1985/08/05,"7 h 51 min 23 sec","OSSAU (CASTET)","PYRENEES OCCIDENTALES",,421560.41,6224621.24,43.07,-0.42,4.5,"INFORMATION ISOLÉE"
640470,1985/08/27,"23 h 23 min 2 sec","BEARN (ISSOR)","PYRENEES OCCIDENTALES",,404000.65,6227260.51,43.08,-0.63,4,"ASSEZ SURE"
370026,1985/09/30,"11 h 16 min 28 sec","GATINE TOURANGELLE (NEUILLE-PONT-PIERRE)",TOURAINE,,513252.41,6719562.11,47.55,0.52,5,SURE
640472,1985/09/30,"2 h 28 min 1 sec","BEARN (S-E. OLORON-SAINTE-MARIE ?)","PYRENEES OCCIDENTALES",,410784.97,6226951.71,43.08,-0.55,4,"ASSEZ SURE"
90031,1985/10/02,"13 h 41 min 47 sec","COUSERANS (VICDESSOS)","PYRENEES CENTRALES",,573106.55,6192042.38,42.82,1.45,4.5,"ASSEZ SURE"
790036,1985/10/07,"13 h 1 min 50 sec","BOCAGE VENDEEN (BOISME)",POITOU,,438068.80,6635311.00,46.77,-0.43,4,SURE
90032,1985/10/11,"23 h 58 min 16 sec","COUSERANS (SALAU)","PYRENEES CENTRALES",,551108.40,6185095.46,42.75,1.18,3,"INFORMATION ISOLÉE"
880063,1985/11/04,"6 h 4 min 14 sec","HAUTES-VOSGES (REMIREMONT)",VOSGES,,968309.11,6774593.11,48.02,6.60,3,"ASSEZ SURE"
700021,1985/11/05,"21 h 35 min 35 sec","PLATEAU DE HAUTE-SAONE (MONTUREUX-SUR-SAONE)",FRANCHE-COMTE,,898023.59,6719927.57,47.55,5.63,3.5,"ASSEZ SURE"
370025,1985/11/09,"21 h 59 min 26 sec","CHINONAIS (CINAIS)",TOURAINE,,482891.79,6677984.36,47.17,0.13,3,INCERTAINE
640473,1985/11/21,"23 h 35 min 9 sec","BEARN (PEDESTARRES)","PYRENEES OCCIDENTALES",,428503.99,6228033.77,43.10,-0.33,4,"ASSEZ SURE"
40178,1985/12/13,"5 h 44 min 9 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",,966960.92,6366882.55,44.35,6.35,4.5,"ASSEZ SURE"
640474,1986/01/09,"6 h 2 min 47 sec","PAYS BASQUE (IROULEGUY)","PYRENEES OCCIDENTALES",,353151.39,6242793.34,43.20,-1.27,4,"ASSEZ SURE"
340025,1986/01/15,"21 h 38 min 49 sec","VALLEE DE L'ORB (ST-PONS)",LANGUEDOC,PRECURSEUR,681132.03,6270501.13,43.53,2.77,,
340026,1986/01/15,"22 h 19 min 17 sec","VALLEE DE L'ORB (ST-PONS)",LANGUEDOC,,678424.05,6266804.83,43.50,2.73,4,"ASSEZ SURE"
40179,1986/01/17,"20 h 27 min 20 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",,965789.79,6363126.58,44.32,6.33,4,"ASSEZ SURE"
340027,1986/01/17,"3 h 10 min 27 sec","VALLEE DE L'ORB (ST-PONS)",LANGUEDOC,REPLIQUE,678424.05,6266804.83,43.50,2.73,,
340028,1986/02/05,"6 h 2 min 25 sec","VALLEE DE L'ORB (ST-PONS)",LANGUEDOC,REPLIQUE,690544.07,6255660.16,43.40,2.88,2.5,"INFORMATION ISOLÉE"
640475,1986/02/06,"1 h 8 min 11 sec","BEARN (ARTHEZ-DE-BEARN)","PYRENEES OCCIDENTALES",,407308.58,6269767.60,43.47,-0.62,5,SURE
640476,1986/02/06,"18 h 43 min 26 sec","PAYS BASQUE (AINCILLE)","PYRENEES OCCIDENTALES",,359625.07,6236879.87,43.15,-1.18,5,SURE
230032,1986/02/19,"13 h 27 min 1 sec","HAUTE-MARCHE (AZERABLES)",LIMOUSIN,,583338.85,6582611.35,46.33,1.48,4,"ASSEZ SURE"
300028,1986/02/25,"17 h 10 min 40 sec","COSTIERE (E. REMOULINS)",CEVENNES,,836419.73,6320097.96,43.97,4.70,5,SURE
40180,1986/03/23,"13 h 59 min 24 sec","PREALPES DE DIGNE (VERDACHES)","ALPES PROVENCALES",,967196.50,6361332.88,44.30,6.35,4.5,"ASSEZ SURE"
40181,1986/03/23,"14 h 3 min 21 sec","PREALPES DE DIGNE (VERDACHES)","ALPES PROVENCALES",REPLIQUE,967196.50,6361332.88,44.30,6.35,,
40182,1986/03/23,"14 h 22 min 23 sec","PREALPES DE DIGNE (VERDACHES)","ALPES PROVENCALES",REPLIQUE,967196.50,6361332.88,44.30,6.35,,
40183,1986/03/28,"19 h 0 min 40 sec","PREALPES DE DIGNE (VERDACHES)","ALPES PROVENCALES",REPLIQUE,966024.21,6357576.77,44.27,6.33,,
640530,1986/04/19,"9 h 1 min 50 sec","OSSAU (CASTET)","PYRENEES OCCIDENTALES",,421400.09,6220918.40,43.03,-0.42,4,"ASSEZ SURE"
220027,1986/04/21,"4 h 23 min 22 sec","MONTS D'ARREE (CORLAY)",BRETAGNE,,247144.30,6821217.02,48.33,-3.12,4,"ASSEZ SURE"
60135,1986/05/01,"0 h 28 min 2 sec","MEDITERRANEE (S. CAP D'AIL)","ALPES MARITIMES",,1049722.25,6289333.68,43.62,7.33,4,INCERTAINE
740135,1986/05/08,"19 h 58 min 31 sec","CHABLAIS (ST-JEAN-D'AULPS)","ALPES SAVOYARDES",,982297.57,6580643.01,46.27,6.67,4,INCERTAINE
380114,1986/05/29,"19 h 58 min 59 sec","BAS-PLATEAUX DAUPHINOIS (ST-SYMPHORIEN/OZON)",FOREZ-LYONNAIS,,851860.66,6507481.33,45.65,4.95,4,INCERTAINE
640483,1986/06/02,"16 h 58 min 3 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",PRECURSEUR,405619.92,6262427.09,43.40,-0.63,,
640484,1986/06/02,"22 h 4 min 59 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,405619.92,6262427.09,43.40,-0.63,5,"ASSEZ SURE"
90033,1986/06/17,"21 h 34 min 33 sec","COUSERANS (SALAU)","PYRENEES CENTRALES",,551108.40,6185095.46,42.75,1.18,3,"INFORMATION ISOLÉE"
120015,1986/06/23,"18 h 16 min 10 sec","VALLEE DU LOT (ESTAING)",QUERCY-ROUERGUE,,673522.65,6383492.04,44.55,2.67,4,"ASSEZ SURE"
120016,1986/06/24,"15 h 57 min 56 sec","VALLEE DU LOT (ESTAING)",QUERCY-ROUERGUE,REPLIQUE,673522.65,6383492.04,44.55,2.67,,"INFORMATION ISOLÉE"
170110,1986/11/27,"5 h 57 min 52 sec","MARAIS POITEVIN (COURCON)",CHARENTES,,406073.29,6579341.49,46.25,-0.82,3.5,INCERTAINE
640485,1986/12/02,"21 h 11 min 3 sec","BEARN (S. OGEU-LES-BAINS)","PYRENEES OCCIDENTALES",,413498.77,6226830.19,43.08,-0.52,4,"ASSEZ SURE"
640486,1986/12/03,"2 h 14 min 25 sec","BEARN (ARAMITS)","PYRENEES OCCIDENTALES",,396035.03,6231342.55,43.12,-0.73,5,"ASSEZ SURE"
560047,1987/01/15,"14 h 21 min 16 sec","VANNETAIS (ETEL ?)",BRETAGNE,,235176.43,6747844.66,47.67,-3.20,,
640487,1987/03/03,"10 h 41 min 55 sec","BEARN (ARAMITS)","PYRENEES OCCIDENTALES",,401458.98,6231088.21,43.12,-0.67,4.5,"ASSEZ SURE"
490093,1987/03/05,"23 h 9 min 8 sec","SAUMUROIS (DOUE-LA-FONTAINE)",ANJOU,,452537.28,6677311.15,47.15,-0.27,4,INCERTAINE
230033,1987/04/29,"13 h 57 min 10 sec","HAUTE-MARCHE (SAGNAT)",LIMOUSIN,,590996.73,6580617.97,46.32,1.58,3,"ASSEZ SURE"
60145,1987/05/16,"6 h 5 min 52 sec","MONTAGNES DU HAUT-VAR (VALBERG-PEONE)","ALPES MARITIMES",,1010704.58,6342937.53,44.12,6.88,,
640488,1987/05/26,"16 h 32 min 58 sec","BEARN (W. ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,428269.38,6222479.48,43.05,-0.33,4.5,"ASSEZ SURE"
640489,1987/06/26,"17 h 13 min 40 sec","BEARN (S-W. ARTHEZ-S'ASSON)","PYRENEES OCCIDENTALES",,428425.79,6226182.33,43.08,-0.33,4,"ASSEZ SURE"
40184,1987/06/28,"2 h 12 min 53 sec","PREALPES DE DIGNE (BARLES)","ALPES PROVENCALES",,958048.01,6357244.93,44.27,6.23,4.5,"ASSEZ SURE"
680122,1987/07/18,"8 h 59 min 9 sec","PLAINE DE HAUTE-ALSACE (N. RANTZWILLER ?)",ALSACE,,1028794.23,6738714.99,47.67,7.38,3.5,INCERTAINE
730203,1987/07/27,"22 h 44 min 35 sec","TARENTAISE (NOTRE-DAME-DU-PRÃ‰)","ALPES SAVOYARDES",,980964.36,6497205.03,45.52,6.60,3,INCERTAINE
640531,1987/07/29,"21 h 43 min 39 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,397303.76,6229427.52,43.10,-0.72,4,"ASSEZ SURE"
740136,1987/08/03,"23 h 38 min 3 sec","FAUCIGNY (BONNEVILLE)","ALPES SAVOYARDES",,967803.25,6559607.62,46.08,6.47,4,INCERTAINE
880064,1987/08/16,"16 h 58 min 32 sec","VOSGES COMTOISES (LE VAL-D'AJOL)",VOSGES,,961107.22,6768707.41,47.97,6.50,3,"ASSEZ SURE"
640491,1987/11/05,"22 h 43 min 58 sec","BEARN (ACCOUS ?)","PYRENEES OCCIDENTALES",,411644.53,6215783.05,42.98,-0.53,4,INCERTAINE
640490,1987/11/11,"7 h 15 min 23 sec","BEARN (S-W. ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,433700.81,6222252.35,43.05,-0.27,4,"ASSEZ SURE"
650451,1987/11/12,"1 h 33 min 13 sec","LAVEDAN (W. ARGELES-GAZOST)","PYRENEES CENTRALES",,441848.38,6221920.27,43.05,-0.17,4,"ASSEZ SURE"
520039,1987/11/14,"17 h 5 min 52 sec","PLATEAU DE HAUTE-SAONE (BUSSIERES/BELMONT)",CHAMPAGNE,,888486.40,6743701.01,47.77,5.52,4,INCERTAINE
560048,1987/12/01,"12 h 8 min 10 sec","MONTAGNES NOIRES (LANGONNET)",BRETAGNE,,216541.40,6795793.90,48.08,-3.50,4,INCERTAINE
640532,1987/12/11,"21 h 6 min 6 sec","PAYS BASQUE (ST-MARTIN-D'ARROSSA)","PYRENEES OCCIDENTALES",,349293.27,6246714.41,43.23,-1.32,4,"ASSEZ SURE"
640492,1987/12/15,"7 h 35 min 28 sec","BEARN (AUDEJOS)","PYRENEES OCCIDENTALES",,409752.27,6264092.69,43.42,-0.58,4.5,"ASSEZ SURE"
170111,1988/02/05,"8 h 36 min 42 sec","SAINTONGE (SAUJON)",CHARENTES,,393870.49,6515083.16,45.67,-0.93,3.5,"INFORMATION ISOLÉE"
630089,1988/02/07,"21 h 49 min 6 sec","LIVRADOIS (N-E. ARLANC)",AUVERGNE,,759926.70,6483686.47,45.45,3.77,4,ARBITRAIRE
340029,1988/02/12,"19 h 32 min 2 sec","GARRIGUES (SOMMIERES)",CEVENNES,,784534.16,6298819.29,43.78,4.05,4,"ASSEZ SURE"
60146,1988/02/27,"18 h 9 min 50 sec","ALPES NICOISES (SOSPEL)","ALPES MARITIMES",,1055913.58,6323067.58,43.92,7.43,,
40185,1988/03/26,"12 h 17 min 10 sec","UBAYE (JAUSIERS)","ALPES PROVENCALES",,990338.21,6379039.26,44.45,6.65,4,"ASSEZ SURE"
530020,1988/05/11,"0 h 8 min 53 sec","BASSIN DE LAVAL (LA CHAPELLE-ANTHENAISE)",MAINE,,412466.07,6788482.02,48.13,-0.87,4,"ASSEZ SURE"
740137,1988/06/11,"22 h 44 min 47 sec","MASSIF DU MONT-BLANC (CHAMONIX)","ALPES SAVOYARDES",,1002258.06,6540834.69,45.90,6.90,5,INCERTAINE
640533,1988/09/02,"22 h 0 min 11 sec","PAYS BASQUE (IROULEGUY)","PYRENEES OCCIDENTALES",,350343.48,6241090.14,43.18,-1.30,4,"ASSEZ SURE"
60138,1988/09/06,"10 h 8 min 5 sec","ALPES NICOISES (ROQUEBILLIERE)","ALPES MARITIMES",,1027075.48,6336347.48,44.05,7.08,,
640534,1988/09/13,"19 h 0 min 31 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,420364.17,6228382.75,43.10,-0.43,4,"ASSEZ SURE"
860047,1988/09/21,"17 h 13 min 11 sec","BRANDES DU HAUT-POITOU (ST-GEORGES-LES-BLGX.)",POITOU,,501252.03,6621781.98,46.67,0.40,3.5,INCERTAINE
50097,1988/09/29,"15 h 13 min 43 sec","BRIANCONNAIS (ST-CHAFFREY)","ALPES DAUPHINOISES",,982603.39,6432427.95,44.93,6.58,3.5,INCERTAINE
230034,1988/10/01,"0 h 27 min 42 sec","HAUTE-MARCHE (AZERABLES)",LIMOUSIN,,582093.01,6584486.68,46.35,1.47,3,"ASSEZ SURE"
230035,1988/10/01,"0 h 32 min 55 sec","HAUTE-MARCHE (AZERABLES ?)",LIMOUSIN,REPLIQUE,582093.01,6584486.68,46.35,1.47,,
50098,1988/10/06,"22 h 42 min 42 sec","QUEYRAS (CEILLAC)","ALPES DAUPHINOISES",,999783.45,6403578.61,44.67,6.78,4,"INFORMATION ISOLÉE"
640516,1988/10/07,"3 h 48 min 20 sec","BEARN (ISSOR)","PYRENEES OCCIDENTALES",,401200.93,6225535.03,43.07,-0.67,4,"ASSEZ SURE"
90034,1988/10/19,"2 h 11 min 15 sec","COUSERANS (SALAU)","PYRENEES CENTRALES",,551108.40,6185095.46,42.75,1.18,3.5,"INFORMATION ISOLÉE"
730206,1988/10/29,"21 h 3 min 18 sec","MAURIENNE (EPIERRE)","ALPES SAVOYARDES",,957874.24,6488784.87,45.45,6.30,4,"INFORMATION ISOLÉE"
650487,1988/11/24,"17 h 53 min 46 sec","BIGORRE (ST-CREAC ?)","PYRENEES CENTRALES",,454070.52,6221441.48,43.05,-0.02,4,"ASSEZ SURE"
170112,1988/12/06,"21 h 38 min 58 sec","AUNIS (AIGREFEUILLE)",CHARENTES,,396358.74,6564993.95,46.12,-0.93,3,"INFORMATION ISOLÉE"
640517,1988/12/19,"6 h 5 min 30 sec","BEARN (S. LANNE)","PYRENEES OCCIDENTALES",,392881.23,6222216.49,43.03,-0.77,5,"ASSEZ SURE"
130126,1989/01/06,"13 h 14 min","BASSE-PROVENCE (GREASQUE)",PROVENCE,,906523.59,6262693.31,43.43,5.55,,"INFORMATION ISOLÉE"
130127,1989/01/06,"20 h 51 min","BASSE-PROVENCE (GREASQUE)",PROVENCE,,906523.59,6262693.31,43.43,5.55,,"INFORMATION ISOLÉE"
650473,1989/01/06,"19 h 33 min 9 sec","BIGORRE (CAMPAN)","PYRENEES CENTRALES",,471332.10,6209678.68,42.95,0.20,5.5,SURE
130128,1989/01/17,"20 h 18 min","BASSIN D'AIX-EN-PROVENCE (MEYREUIL)",PROVENCE,,902299.55,6268118.61,43.48,5.50,,
130129,1989/01/19,"1 h 42 min","BASSE-PROVENCE (GREASQUE)",PROVENCE,,906523.59,6262693.31,43.43,5.55,,"INFORMATION ISOLÉE"
130130,1989/01/25,"21 h 28 min","BASSIN D'AIX-EN-PROVENCE (MEYREUIL)",PROVENCE,,902299.55,6268118.61,43.48,5.50,,
490094,1989/02/04,"14 h 19 min 9 sec","MAUGES (BEGROLLES)",ANJOU,,403242.50,6677701.73,47.13,-0.92,4,"ASSEZ SURE"
40187,1989/02/05,"2 h 8 min 4 sec","PREALPES DE DIGNE (PRADS-HAUTE-BLEONE)","ALPES PROVENCALES",PRECURSEUR,975571.89,6352427.11,44.22,6.45,,"INFORMATION ISOLÉE"
40186,1989/02/12,"3 h 52 min 4 sec","PREALPES DE DIGNE (LA JAVIE)","ALPES PROVENCALES",,968919.67,6352139.80,44.22,6.37,4,"ASSEZ SURE"
40188,1989/02/12,"0 h 48 min 34 sec","PREALPES DE DIGNE (VERDACHES)","ALPES PROVENCALES",PRECURSEUR,966024.21,6357576.77,44.27,6.33,,"INFORMATION ISOLÉE"
170113,1989/02/13,"17 h 32 min 50 sec","ILE D'OLERON",CHARENTES,,368261.38,6546070.28,45.93,-1.28,4,"ASSEZ SURE"
170114,1989/02/14,"0 h 47 min 2 sec","ILE D'OLERON",CHARENTES,,376194.94,6549351.62,45.97,-1.18,4,"ASSEZ SURE"
640518,1989/02/25,"2 h 55 min 18 sec","BEARN (ARTHEZ-DE-BEARN)","PYRENEES OCCIDENTALES",,408740.90,6271556.46,43.48,-0.60,4,"ASSEZ SURE"
640521,1989/03/05,"20 h 51 min 40 sec","BEARN (BESINGRAND)","PYRENEES OCCIDENTALES",PRECURSEUR,410850.33,6258479.39,43.37,-0.57,,"INFORMATION ISOLÉE"
640519,1989/03/10,"13 h 52 min 24 sec","BEARN (BESINGRAND)","PYRENEES OCCIDENTALES",,408318.75,6262303.39,43.40,-0.60,4,"ASSEZ SURE"
640520,1989/03/10,"21 h 16 min 50 sec","BEARN (BESINGRAND)","PYRENEES OCCIDENTALES",REPLIQUE,408318.75,6262303.39,43.40,-0.60,,
730204,1989/03/11,"18 h 42 min 50 sec","BEAUFORTIN (N. BOURG-SAINT-MAURICE)","ALPES SAVOYARDES",,987722.94,6519751.83,45.72,6.70,4,INCERTAINE
650472,1989/03/21,"5 h 16 min 58 sec","BIGORRE (S-E. GAZOST)","PYRENEES CENTRALES",,460654.56,6215629.87,43.00,0.07,4,"ASSEZ SURE"
250034,1989/04/30,"3 h 38 min 2 sec","AVANT-PAYS JURASSIEN (FROIDEVAUX)",FRANCHE-COMTE,,979486.32,6695402.64,47.30,6.70,4.5,"ASSEZ SURE"
30035,1989/05/03,"7 h 44 min 11 sec","HAUTE-MARCHE (LA CHAPELAUDE)",BOURBONNAIS,,661573.34,6587165.26,46.38,2.50,4,"ASSEZ SURE"
640522,1989/05/30,"6 h 28 min 10 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,429782.80,6226125.15,43.08,-0.32,5,"ASSEZ SURE"
1150074,1989/08/21,"6 h 52 min 59 sec","ATLANTIQUE (W. ILE DE OUESSANT)",BRETAGNE,,61027.49,6857295.28,48.50,-5.67,,
680123,1989/09/03,"15 h 9 min 46 sec","PLAINE DE HAUTE-ALSACE (SOPPE-LE-HAUT)",ALSACE,,1005929.15,6744905.39,47.73,7.08,4,"ASSEZ SURE"
1130499,1989/12/26,"20 h 0 min 0 sec","MEDITERRANEE (S. NICE)","ALPES MARITIMES",,1054061.71,6284007.92,43.57,7.38,5,ARBITRAIRE
730205,1990/01/20,"19 h 25 min 22 sec","MAURIENNE (LANSLEBOURG-MONT-CENIS)","ALPES SAVOYARDES",,1005639.08,6472435.59,45.28,6.90,3.5,"ASSEZ SURE"
640523,1990/02/11,"20 h 13 min 2 sec","BEARN (S-W. ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,435058.74,6222196.29,43.05,-0.25,4,SURE
640524,1990/02/28,"13 h 23 min 44 sec","PAYS BASQUE (S.E. LARRAU)","PYRENEES OCCIDENTALES",,383194.11,6218975.45,43.00,-0.88,4,"ASSEZ SURE"
640525,1990/03/27,"3 h 32 min 13 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,398573.38,6227512.71,43.08,-0.70,5,"ASSEZ SURE"
640526,1990/03/27,"10 h 41 min 10 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",REPLIQUE,398573.38,6227512.71,43.08,-0.70,,
880076,1990/05/14,"21 h 42 min 35 sec","HAUTES-VOSGES (GERARDMER)",VOSGES,,977976.58,6780604.60,48.07,6.73,3.5,"ASSEZ SURE"
360033,1990/06/02,"14 h 33 min 12 sec","MARCHE-BOISCHAUT (ARGENTON-SUR-CREUSE)",BERRY,,591428.40,6604675.80,46.53,1.58,5,"ASSEZ SURE"
640527,1990/06/12,"18 h 48 min 58 sec","BEARN (S-W. ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,428269.38,6222479.48,43.05,-0.33,5,"ASSEZ SURE"
650474,1990/10/16,"14 h 25 min 31 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,449924.42,6219746.72,43.03,-0.07,4,SURE
650475,1990/10/16,"21 h 7 min 42 sec","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",REPLIQUE,449924.42,6219746.72,43.03,-0.07,,
640528,1990/10/31,"6 h 46 min 48 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,408487.61,6266004.67,43.43,-0.60,5,SURE
640529,1990/11/02,"21 h 25 min 27 sec","BEARN (ISSOR)","PYRENEES OCCIDENTALES",,399930.20,6227449.23,43.08,-0.68,5,SURE
40190,1990/11/09,"10 h 59 min 2 sec","PLATEAU DE VALENSOLE (MOUSTIERS-STE-MARIE)","ALPES PROVENCALES",,964114.59,6307453.35,43.82,6.28,4,"ASSEZ SURE"
880065,1990/11/12,"14 h 4 min 6 sec","HAUTES-VOSGES (LE SYNDICAT)",VOSGES,,978064.12,6778754.52,48.05,6.73,,
880066,1990/11/12,"15 h 59 min 59 sec","HAUTES-VOSGES (LE SYNDICAT)",VOSGES,,974515.49,6774879.55,48.02,6.68,,"INFORMATION ISOLÉE"
880067,1990/11/14,"2 h 35 min 43 sec","HAUTES-VOSGES (RUPT-SUR-MOSELLE)",VOSGES,,976017.01,6769387.64,47.97,6.70,4,"ASSEZ SURE"
880068,1990/11/14,"14 h 18 min 9 sec","HAUTES-VOSGES (LE SYNDICAT)",VOSGES,,974515.49,6774879.55,48.02,6.68,,"INFORMATION ISOLÉE"
880069,1990/11/15,"2 h 31 min 5 sec","HAUTES-VOSGES (LE SYNDICAT)",VOSGES,,976998.02,6774995.96,48.02,6.72,,
880070,1990/11/15,"4 h 43 min 42 sec","HAUTES-VOSGES (GERBAMONT)",VOSGES,,979568.34,6773263.42,48.00,6.75,,"INFORMATION ISOLÉE"
880071,1990/11/18,"15 h 3 min 5 sec","HAUTES-VOSGES (LE SYNDICAT)",VOSGES,,974515.49,6774879.55,48.02,6.68,,"INFORMATION ISOLÉE"
880072,1990/11/26,"13 h 8 min 41 sec","HAUTES-VOSGES (LE SYNDICAT)",VOSGES,,974515.49,6774879.55,48.02,6.68,,"INFORMATION ISOLÉE"
640537,1991/02/08,"18 h 35 min 57 sec","BEARN (S. BARCUS)","PYRENEES OCCIDENTALES",,392233.40,6237088.87,43.17,-0.78,4,SURE
50099,1991/02/11,"15 h 43 min 45 sec","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",,989600.59,6423483.98,44.85,6.67,6,"ASSEZ SURE"
50100,1991/02/13,"12 h 54 min 44 sec","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",REPLIQUE,989514.66,6425333.18,44.87,6.67,,
640538,1991/04/01,"23 h 47 min 47 sec","PAYS BASQUE (IDAUX-MENDY)","PYRENEES OCCIDENTALES",,381487.56,6239468.28,43.18,-0.92,4.5,SURE
640539,1991/04/02,"0 h 3 min 48 sec","PAYS BASQUE (IDAUX-MENDY)","PYRENEES OCCIDENTALES",REPLIQUE,381487.56,6239468.28,43.18,-0.92,,
230036,1991/05/22,"13 h 41 min 12 sec","HAUTE-MARCHE (MORTROUX)",LIMOUSIN,PRECURSEUR,614182.72,6587650.41,46.38,1.88,4,SURE
230037,1991/06/09,"0 h 34 min 3 sec","HAUTE-MARCHE (MORTROUX)",LIMOUSIN,,614182.72,6587650.41,46.38,1.88,4,"ASSEZ SURE"
230038,1991/06/09,"0 h 43 min 23 sec","HAUTE-MARCHE (MORTROUX)",LIMOUSIN,REPLIQUE,607807.08,6589595.07,46.40,1.80,,
490097,1991/12/06,"19 h 34 min 4 sec","VAL D'ANJOU (LA BREILLE-LES-PINS)",ANJOU,,479790.39,6696623.55,47.33,0.08,4,SURE
490098,1991/12/07,"5 h 18 min 35 sec","VAL D'ANJOU (MONTSOREAU)",ANJOU,,474339.87,6685711.44,47.23,0.02,,
620017,1991/12/14,"13 h 30 min 56 sec","BOULONNAIS (LONGUEVILLE)",FLANDRE-ARTOIS,,619817.50,7069457.54,50.72,1.87,5,"ASSEZ SURE"
40192,1992/01/02,"2 h 12 min 28 sec","UBAYE (LE LAUZET)","ALPES PROVENCALES",,973195.18,6376416.48,44.43,6.43,4,"ASSEZ SURE"
170115,1992/01/25,"4 h 13 min 19 sec","PERTUIS BRETON (N. ST-MARTIN-DE-RE)",CHARENTES,,361296.52,6583526.68,46.27,-1.40,5,"ASSEZ SURE"
640541,1992/01/26,"10 h 0 min 48 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",PRECURSEUR,408149.88,6258602.03,43.37,-0.60,,"INFORMATION ISOLÉE"
640540,1992/02/03,"8 h 16 min 10 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES",,408318.75,6262303.39,43.40,-0.60,5,"ASSEZ SURE"
